agency,mode,n_ods,country,operator,status,source_ids,source_titles,source_urls,notes,audit_files
FlixBus-eu,Bus,1869,"AT,BE,BG,CH,CZ",FlixBus,access_required,NW_FLIXBUS|NW_FLIX_PARTNER,FlixBus general carriage conditions|FlixBus reseller access,https://global.flixbus.com/terms-and-conditions-of-carriage|https://global.flixbus.com/company/partners/travel-agencies-and-ticket-outlets,Quota-based fare brackets; no public complete monetary matrix verified. Partner access is the official lead.,northwest_fallback
DB Fernverkehr AG,Rail,606,"AT,BE,CH,DE,FR",DB,published_partial,DACH_DB_AGB|DACH_DB_FLEX,DB national/international conditions and supplementary price list|DB Flexpreis product and price determinants,https://www.bahn.de/agb|https://www.bahn.de/angebot/sparpreis-flexpreis/flexpreis,Current published rules/supplements verified; complete OD/date long-distance base fares not obtained.,dach.json
SNCF VOYAGEURS,Rail,253,"BE,CH,DE,ES,FR",SNCF,published_partial,SW_SNCF_TGV|SW_SNCF_IC|SW_SNCF_BASE|SW_ALEOP_ECO,"Tarifs TGV INOUI et OUIGO — official OD fare bounds|Tarifs Intercités — daytime and overnight OD fare bounds|SNCF Tarifs voyageurs, volume 6 — base fare coefficients and product rules|Aléop Eco — TER and specified express coaches",https://ressources.data.sncf.com/explore/dataset/tarifs-tgv-inoui-ouigo/export/|https://ressources.data.sncf.com/explore/dataset/tarifs-intercites/table/|https://www.tgvinoui.sncf/file/tarifs-voyageurs|https://aleop.paysdelaloire.fr/tarifs/billet-aleop-eco,"Operator alias may cover TGV, Intercités, TER and international services. National published bounds and limited base rules exist; classify services and join UIC stations. Alias alone is not tariff identity.",southwest.json
PKP Intercity,Rail,153,"AT,CZ,DE,HU,LT",PKP,access_required,EAST_PKP_DOMESTIC_CANDIDATE|EAST_PL_SCIC_NRT_2025,"PKP Intercity Cennik usług przewozowych — domestic base-fare publication candidate|SCIC-NRT 2025–2026, Polish edition prepared by PKP Intercity",https://www.intercity.pl/pl/dokumenty/Przepisy%20i%20taryfy/Cennik_uslug_przewozowch_PKP_Intercity_od_01.09.25.pdf|https://polregio.pl/media/28130/scic-nrt-od-14122025-r.pdf,Domestic price candidate blocked by 403; international rules verified but NRT monetary database still needed. Preserve train/category/channel and reservations.,east.json
Trenitalia,Rail,110,"FR,IT",Trenitalia,published_partial,SW_TI_LISTINO|SW_TI_REGIME|SW_TI_PIEMONTE,"Trenitalia Listino dei Prezzi, Capitolo IV, Parte II|Trenitalia Part II — Base fares and limited-price availability|Trenitalia Tariffa 39/13 Piemonte — ordinary regional singles",https://www.trenitalia.com/content/dam/trenitalia/allegati/info/condizioni-generali-di-trasporto/parte-ii-trasporto-nazionale/Listino_Prezzi_Capitolo_IV-PARTE_II_Trasporto_Nazionale.pdf|https://www.trenitalia.com/content/dam/trenitalia/allegati/info/condizioni-generali-di-trasporto/parte-ii-trasporto-nazionale/Parte_II-Trasporto_Nazionale.pdf|https://www.trenitalia.com/content/dam/trenitalia/allegati/info/condizioni-generali-di-trasporto/parte-iii-trasporto-regionale/tariffa-39/Tariffa_39_13_Piemonte.pdf,IC/ICN Base OD tables and regional tariff tables exist. Frecce capacity-limited price levels need quotes. Regional distances and international products need distinct acquisition.,southwest.json
National Express,Bus,97,"DE,IE,UK",National Express (UK),retail_only,NW_NATIONAL_EXPRESS,National Express ticket products and fare rules,https://www.nationalexpress.com/en/help/tickets/,Official rules confirm date- and advance-purchase-dependent coach fares; no complete public OD matrix was found.,northwest_fallback
CrossCountry,Rail,95,UK,CrossCountry,access_required,NW_GB_RSP|NW_GB_SPEC,"RDG industry fares, routeing and timetable data|RDG Fares and Associated Data Feed Specification RSPS5045",https://www.raildeliverygroup.com/our-services/essential-services/rail-data.html|https://www.raildeliverygroup.com/files/Publications/services/rsp/RSPS504502-00FaresandAssociatedDataFeedInterfaceSpecification.pdf,"Use the shared GB fares, restrictions and routeing delivery rather than an operator-page scraper.",northwest_fallback
BlaBlaCar Bus,Bus,89,"AT,BE,CH,CZ,DE",BlaBlaCar Bus,access_required,NW_BLABLACAR,BlaBlaCar Pro IMS external API,https://cdn.blablacar.pro/ims/api/blablacar-pro-ext-api.html,The official partner API returns ticket prices but requires credentials and inventory-scope verification.,northwest_fallback
Österreichische Bundesbahnen,Rail,82,"AT,BE,CH,CZ,DE",ÖBB,published_partial,DACH_OBB_OD|DACH_OBB_Y_SAMPLE|DACH_OBB_RULES|DACH_OBB_NIGHT,"ÖBB published relation-price tables|ÖBB OD table, origins Y: verified sample shard|Handbuch für Reisen mit den ÖBB in Österreich|ÖBB night trains in Germany, fare ranges",https://www.oebb.at/static/tarife/de/relationspreise/index.html|https://static.web.oebb.at/relationspreise/14122025/y.pdf|https://www.oebb.at/static/tarife/de/handbuch_fuer_reisen_mit_den_oebb_in_oesterreich/index.html|https://www.oebb.at/static/tarife/de/relationspreise/Resources/pdf/3203138955.pdf,"Domestic standard-fare source ready for acquisition. International through fares, local Verbund fares and inventory products need separate resolution.",dach.json
RENFE OPERADORA,Rail,78,"ES,FR,PT",Renfe,published_partial,SW_RENFE_CERCANIAS|SW_RENFE_CATALOGUE,Renfe Cercanías Madrid — zone-based single tickets|Renfe Data — official catalogue and explicit fare-data gap,https://www.renfe.com/es/es/cercanias/cercanias-madrid/tarifas/billetes.html|https://data.renfe.com/es/dataset,Published Madrid Cercanías zone prices verified in official index; service mix and routes unclassified. No current comprehensive AVE/MD/international fare feed verified. Existing Kaggle script is not current official tariff data.,southwest.json
Flixbus,Bus,58,"AT,BE,BG,CH,CZ",FlixBus,access_required,NW_FLIXBUS|NW_FLIX_PARTNER,FlixBus general carriage conditions|FlixBus reseller access,https://global.flixbus.com/terms-and-conditions-of-carriage|https://global.flixbus.com/company/partners/travel-agencies-and-ticket-outlets,Quota-based fare brackets; no public complete monetary matrix verified. Partner access is the official lead.,northwest_fallback
Northern,Rail,45,UK,DFTO,access_required,NW_GB_RSP|NW_GB_SPEC,"RDG industry fares, routeing and timetable data|RDG Fares and Associated Data Feed Specification RSPS5045",https://www.raildeliverygroup.com/our-services/essential-services/rail-data.html|https://www.raildeliverygroup.com/files/Publications/services/rsp/RSPS504502-00FaresandAssociatedDataFeedInterfaceSpecification.pdf,"Use the shared GB fares, restrictions and routeing delivery rather than an operator-page scraper.",northwest_fallback
NS,Rail,44,NL,NS,ready_to_acquire,NW_NS_NDOV,NS tariff delivery and 2026 HRN price table,https://data.ndovloket.nl/tarieven/trein/ns/,Domestic NS rail is already resolved from NDOV. A bus row is conditional replacement transport and needs identity checks.,northwest_fallback
Schweizerische Bundesbahnen SBB,Rail,43,"AT,CH,CZ,DE,FR",SBB,published_partial,DACH_SWISS_OSDM|DACH_SWISS_RULES|DACH_SWISS_T604|DACH_SWISS_OJP,"Beta OSDM Offline Switzerland fare file|Alliance SwissPass tariffs index: T600/T601/T603|T604: concessionaire tariff distances and prices, current rules|Beta OJP Fare: NOVA price-query interface",https://data.opentransportdata.swiss/en/dataset/osdm-offline|https://www.allianceswisspass.ch/de/tarife-vorschriften/uebersicht|https://www.allianceswisspass.ch/de/asp/Downloads?download=2669|https://opentransportdata.swiss/it/cookbook/open-journey-planner-ojp/ojp-fare/,OSDM subset promising but archive validity/OD coverage unverified. T601/T603 access-gated; current T604 delegates pricing to NOVA.,dach.json
OEBB Personenverkehr AG Kundenservice,Rail,37,"AT,BE,CH,CZ,DE",ÖBB,published_partial,DACH_OBB_OD|DACH_OBB_Y_SAMPLE|DACH_OBB_RULES|DACH_OBB_NIGHT,"ÖBB published relation-price tables|ÖBB OD table, origins Y: verified sample shard|Handbuch für Reisen mit den ÖBB in Österreich|ÖBB night trains in Germany, fare ranges",https://www.oebb.at/static/tarife/de/relationspreise/index.html|https://static.web.oebb.at/relationspreise/14122025/y.pdf|https://www.oebb.at/static/tarife/de/handbuch_fuer_reisen_mit_den_oebb_in_oesterreich/index.html|https://www.oebb.at/static/tarife/de/relationspreise/Resources/pdf/3203138955.pdf,"Domestic standard-fare source ready for acquisition. International through fares, local Verbund fares and inventory products need separate resolution.",dach.json
Avanti West Coast,Rail,32,UK,Avanti West Coast,access_required,NW_GB_RSP|NW_GB_SPEC,"RDG industry fares, routeing and timetable data|RDG Fares and Associated Data Feed Specification RSPS5045",https://www.raildeliverygroup.com/our-services/essential-services/rail-data.html|https://www.raildeliverygroup.com/files/Publications/services/rsp/RSPS504502-00FaresandAssociatedDataFeedInterfaceSpecification.pdf,"Use the shared GB fares, restrictions and routeing delivery rather than an operator-page scraper.",northwest_fallback
