feed,provider,agencies,icc,nearest_fua,model,n_products,n_od_pairs,currency,price_min,price_max,n_stops,lon,lat,tables,modes
mdb-3427,Turistička agencija Li-Bus d.o.o. (Livnobus),Turistička agencija Li-Bus d.o.o.,,Split (91 km),Zone-to-zone OD,410,398,BAM,2.5,216.0,37,17.2103,44.1819,"fare_attributes,fare_rules",Bus
mdb-891,Alilaguna,Alilaguna S.p.A.,,Venezia (9 km),Zone-to-zone OD,3,219,EUR,10.0,18.0,34,12.3363,45.4395,"fare_attributes,fare_rules",Other
mdb-3046,Transport Public Ungheni,Transport Public Ungheni,,Iasi (19 km),Zone-to-zone OD,35,30,MDL,4.5,151.2,382,27.8108,47.2274,"fare_attributes,fare_rules",Bus
mdb-2921,Transtejo Soflusa (TTSL),TTSL - Transtejo Soflusa,,Lisboa (8 km),Per-route,5,0,EUR,1.5,3.25,10,-9.1468,38.6911,"fare_attributes,fare_rules",Other
tdg-83311,Sailcoop,Sailcoop,,Lorient (49 km),Per-route,4,0,EUR,15.0,59.0,3,-3.9829,47.861,"fare_attributes,fare_rules",Other
mdb-992,Valsts SIA Autotransporta Direkcija (ATD),,,,Flat,0,0,,,,0,,,"fare_attributes,fare_rules",Bus+Rail
tdg-83891,Communauté de Communes du Centre-Ouest,Transport et Mobilités Centre-Ouest,,Irakleio (5241 km),Declared only,0,0,,,,62,45.1155,-12.825,"fare_attributes,fare_rules",Bus
mdb-2036,Bean Shuttle,Bean Shuttle; CK Shuttle,AT,Linz (22 km),Per-route,6,0,CZK,600.0,1300.0,11,14.2681,48.1208,"fare_attributes,fare_rules",Bus
mdb-1860,DeWaterbus,DeWaterbus,BE,Antwerpen (3 km),Zone-to-zone OD,7,2,EUR,1.0,10.0,13,4.3962,51.2367,"fare_attributes,fare_rules",Other
mdb-684,De Lijn,De Lijn,BE,Bruxelles / Brussel (21 km),Declared only,0,0,,,,30587,4.3948,50.999,"areas,stop_areas",Bus+Other
mdb-685,De Waterbus,DeWaterbus,BE,Antwerpen (9 km),Declared only,0,0,,,,8,4.3177,51.2419,"fare_attributes,fare_rules",Other
mdb-2848,Urban Mobility Center - Sofia Traffic,Център за градска мобилност,BG,Sofia (1 km),Flat,2,0,EUR,0.8,1.1,4468,23.3231,42.69,fare_attributes,Bus+Other
mdb-2119,Trolleybus Transport Pleven,Тролейбусен транспорт ЕООД - Плевен,BG,Craiova (120 km),Flat,1,0,EUR,0.8,0.8,186,24.6229,43.4106,fare_attributes,Bus+Other
